State,Domain,Category,Plain_English_Definition,Typical_Trigger,How_To_Interpret,Portfolio_Implication,What_Not_To_Infer,Key_Data
INFRASTRUCTURE_LEADERSHIP,Rotation,State,Infrastructure is outperforming relevant broad-market benchmarks on a sustained basis.,Relative-strength trend positive.,Physical-capex/defensive real-asset leadership may be broadening.,Supports infrastructure tilt if fundamentals/valuation agree.,Do not infer macro cause from price alone.,"Relative strength, breadth."
GOLD_LOSING_TO_INDUSTRIALS,Rotation,State,"Gold underperforms industrial/cyclical assets, indicating weaker defensive monetary leadership.",Gold-relative ratios trend lower.,Market may prefer growth/real-activity exposures over monetary hedge.,Reduce tactical gold enthusiasm unless other gold drivers confirm.,Do not abandon strategic gold solely on relative performance.,Gold/industrial ratios.
AI_BOTTLENECK_LEADERSHIP,Rotation,State,AI hardware/infrastructure bottleneck beneficiaries outperform broader AI/software exposure.,Semis/hardware/infrastructure relative strength leads.,Scarce physical capacity is capturing more economics.,Favor bottleneck beneficiaries when earnings/financing confirm.,Do not extrapolate indefinitely after vertical moves.,"Relative strength, earnings, capex."
ROTATION_NOT_CRASH,Market structure,State,Leadership is changing within risk assets without evidence of a broad systemic liquidation.,Sector dispersion rises while credit/breadth/systemic stress remain contained.,Weakness in one theme may be rotation rather than market breakdown.,Rotate selectively rather than de-risking everything.,Do not call every leadership break a crash.,"Sector relative strength, credit, breadth."
MEGACAP_CONCENTRATION_RISK,Market structure,State,A small number of mega-cap stocks account for an unusually large share of index performance or earnings.,Contribution/concentration exceeds historical bands.,Index-level diversification is weaker than it appears.,Use equal-weight/breadth checks and diversify satellite risk.,Do not infer immediate downside.,"Index contribution, earnings concentration."
GOLD_HEDGE_FAILURE,Market structure,State,Gold fails to provide expected diversification during a specified risk shock.,Risk-off/hedge environment occurs but gold does not respond as expected.,The shock is transmitting through yields/USD/liquidity differently.,Use safe-haven transmission analysis before adding.,Do not assume the long-term gold thesis is permanently invalid.,"Gold, yields, USD, risk assets."
BOND_HEDGE_FAILURE,Market structure,State,Long-duration government bonds fail to rally during an equity/risk shock.,Risk assets weaken but long yields do not fall/bonds do not rise.,Inflation/term-premium/fiscal stress may be dominating.,Reduce assumed bond hedge ratio; consider shorter duration.,Do not conclude bonds are permanently useless diversifiers.,"Equities, Treasury returns/yields, inflation expectations."
MIXED_TRANSITION,Macro,Regime,Macro signals are mixed and the economy/markets appear to be transitioning between clearer regimes.,Major macro pillars disagree or their momentum is changing.,Conviction should be lower than in a clean expansion/recession/inflation regime.,Use smaller tactical tilts and demand cross-asset confirmation.,Do not force a single macro narrative.,"Growth, inflation, labor, liquidity, rates."
NEUTRAL_RANGE,Market structure,Regime,Price action is broadly range-bound/neutral rather than in a clean trend.,Trend/momentum and support-resistance evidence are mixed.,Directional edge is limited; relative value and staged entries matter more.,Avoid large directional tactical bets; focus on levels and diversification.,Do not interpret neutral as bearish.,"Price trend, breadth, volatility."
STRATEGIC_OPEN_AT_FLOOR,Execution,State,Layer 1 is authorized at least at the minimum strategic deployment amount.,Strategic schedule/underweight and cash availability meet the floor.,Capital should be deployed fee-efficiently within the maximum deferral window.,Execute the strategic floor even if tactical timing is not perfect.,Do not let a tactical block cancel the strategic floor.,"Strategic allocation, cash, schedule."
SYSTEMATIC_WINDOW_OPEN,Execution,State,A scheduled/systematic investment window is currently open.,Current date falls inside the predefined deployment window.,Systematic capital has permission to deploy subject to operational/compliance checks.,Execute according to the systematic schedule.,Do not convert a routine window into a discretionary market-timing exercise.,"Calendar, systematic allocation rules."
BREADTH_BROADENING,Equity,State,Participation is widening beyond the previous narrow leadership group.,"Advance/decline, equal-weight and sector participation improve.",The rally is becoming less dependent on a few names.,Support broader equity exposure if credit/rates remain compatible.,Do not assume broadening is complete after one session.,"Breadth, equal-weight, sector participation."
BREADTH_NARROWING,Equity,State,Market gains are increasingly concentrated in fewer stocks/sectors.,Breadth/equal-weight deteriorate while cap-weighted index holds up.,Index strength is becoming more fragile.,Favor quality and reduce concentrated tactical chase risk.,Do not call an immediate market top solely from narrowing breadth.,"Breadth, equal-weight, contribution."
POST_EVENT_CONFIRMATION_PENDING,Event-aware,State,A major release has occurred but the cross-asset reaction has not yet stabilized enough for a directional conclusion.,Release is out but rates/FX/equities/commodities are giving mixed or early signals.,The first price impulse may be noise or positioning rather than durable information.,Wait for the defined cross-asset sequence before releasing tactical capital.,Do not trade the headline alone.,"Release surprise, 2Y/10Y/30Y, curve, USD, breadth, vol."
AI_RECOVERING_DISPERSION_CONFIRMATION_REQUIRED,Equity/AI,State,"AI-related assets are recovering, but leadership is uneven and breadth/earnings confirmation is still required.",Price rebound occurs with mixed participation across AI sub-groups.,Recovery is real but not yet robust enough for indiscriminate AI exposure.,Prefer selective quality/earnings-backed expressions; avoid blanket chase.,Do not interpret index rebound as uniform AI health.,"AI subgroup breadth, earnings revisions, positioning, price."
RISK_ON,Cross-asset,Regime,Multiple risk-sensitive assets and market internals are confirming improving risk appetite.,Equities/credit/breadth/volatility align constructively.,Risk-taking is broadly being rewarded.,Allow normal tactical risk subject to valuation and event gates.,Do not ignore concentration or term-premium stress.,"Equities, credit, breadth, volatility, USD/rates context."
RISK_OFF,Cross-asset,Regime,Multiple risk-sensitive assets and internals are confirming defensive behavior.,Equities/credit/breadth weaken while volatility/defensive demand rise.,Capital preservation has higher short-term value.,Reduce tactical beta and favor robust hedges/liquidity.,Do not assume every defensive asset will work; check safe-haven transmission.,"Equities, credit, vol, breadth, safe havens."
BLOCK_FRICTION_NO_EDGE_ESTIMATE,Execution,Execution state,A tactical order is blocked because estimated round-trip transaction cost is too large and no sufficient expected edge has been documented.,Fixed commission/spread burden exceeds the configured threshold and expected edge is unavailable.,"The idea may be valid, but the proposed size is economically inefficient.","Increase order size, wait for a better setup, or reject the trade.",Do not interpret this as a bearish view on the asset.,"Order notional, commissions, spread, expected edge."
NEEDS_CASH_FLOW_LEDGER,Self-audit,Data state,The VWCE cash-flow-matched counterfactual cannot be calculated because contribution dates/amounts have not been supplied.,No usable cash_flow_ledger.csv is present.,The audit is incomplete on opportunity cost from idle cash.,Provide contribution dates and amounts; other audit components continue normally.,Do not assume Crown beat or lost to DCA without this baseline.,Cash contribution ledger.
STRATEGIC_UNDERDEPLOYMENT,Self-audit/Execution,Audit state,Strategic capital remained uninvested beyond the permitted schedule/deferral despite available cash and strategic authorization.,Strategic permission open + available cash + no execution beyond max deferral.,Tactical caution has improperly overridden Layer 1.,Flag as process failure and quantify delay cost.,Do not confuse deliberate cash allocation with accidental underdeployment.,"Strategic target, cash, permission date, trades."
ENTRY_DEAD_ZONE,Self-audit/Technical,Audit state,"Entry rules rejected the asset near support and later rejected it as too extended, causing the framework to miss the entire move.",No starter at reversal/support + later NO_CHASE after a material rally.,Confirmation requirements are too binary or too slow.,Use staged starter/add logic and measure false negatives.,Do not lower all entry standards; repair the sequencing rule.,"Signals, price path, execution history."
LATE_CONFIRMATION,Self-audit,Audit state,Crown eventually authorized a trade only after a material portion of the move had already occurred.,Initial WAIT/BLOCK followed by BUY/ADD after a threshold forward move.,Risk control may have become expensive opportunity cost.,Measure price/unit loss from delay and recalibrate the confirmation gate.,Do not assume every delayed entry is bad; avoided drawdowns matter too.,"Signal history, trade date, price path."
MISSED_OPPORTUNITY,Self-audit,Audit state,Crown had a buy/add thesis but no execution occurred and the asset subsequently moved materially in the expected direction.,Expired buy-like signal + no matching trade + positive forward return above threshold.,A false negative or execution failure occurred.,"Attribute to timing, strategic veto, expression or user override.",Do not count tiny/noisy moves as missed opportunities.,"Signal history, trades, forward returns."
CORRECT_AVOIDANCE,Self-audit,Audit state,Crown withheld a trade and the subsequent price path validated that decision.,WAIT/NO_CHASE/BLOCK + no execution + materially adverse forward return.,The gate added value by avoiding a loss.,"Credit the relevant gate, net of any later opportunity cost.",Do not reward avoidance if strategic capital was still required elsewhere.,"Signal history, price path."
USER_OVERRIDE_ALPHA_DRAG,Self-audit,Audit state,Measures whether the user's action differing from Crown's recommendation added or destroyed value.,Actual execution conflicts with recorded Crown action and enough forward data exist.,Discretion and model performance can be separated empirically.,Track override alpha/drag rather than judging anecdotes.,Do not treat one successful override as proof the framework is useless.,"Signal, execution, forward returns."
SIGNAL_COMPLIANCE_OVERRIDE_COST,Self-audit,Audit state,"Tracks the economic cost/benefit of following, delaying or overriding Crown signals.",Persistent signal IDs can be matched to actual trades and subsequent returns.,Decision-process compliance becomes measurable.,Use in calibration of gates and execution discipline.,Do not optimize behavior to maximize hit rate at the expense of risk-adjusted outcomes.,"Signal ledger, trade ledger, counterfactual."
CALIBRATION_SHADOW,Governance,Calibration state,Signal weights are being evaluated historically but are not yet allowed to alter live allocations because the sample is too small.,Resolved sample below configured minimum (20 resolved 20-day observations by default).,The framework is learning without overfitting live capital.,Report suggested weights but keep live weights unchanged.,Do not promote a signal after a handful of wins.,"Resolved signals, forward outcomes."
DATA_QUALITY_DEGRADED,Governance,Data state,"One or more required data inputs are missing, stale, inferred or failed to retrieve, reducing confidence without forcing fabricated values.",Price/API/input or reconciliation failure occurs.,The run remains usable but affected outputs must be interpreted with lower confidence.,Mark affected modules and exclude inferred items from performance attribution.,Do not fill missing data with guesses.,"Data freshness, API errors, reconciliation flags."
SIGNAL_CLASS_HORIZON_EXPIRY,Governance,Rule,"Every signal declares whether it is a condition, timing, sizing or invalidation input, together with horizon and expiry.",Any signal enters the canonical registry.,Condition indicators change risk budgets and confirmation thresholds; only compatible timing signals authorize tactical execution.,Reject or down-weight signals missing class/horizon/expiry; prevent condition warnings from silently becoming trades.,Do not treat a vulnerability indicator as a trade trigger without a compatible timing signal.,"Canonical signal registry, signal metadata."
TREASURY_FIVE_PART_DECOMPOSITION,Rates,Diagnostic,"Decomposes long Treasury yields into expected short rates, inflation/growth fair value, term premium, supply/intermediation and positioning/technicals.",A material move occurs in 10Y/30Y yields or a Treasury auction.,Different components imply different persistence and asset transmission.,"Route the move to Fed, fiscal/term-premium, liquidity or positioning logic before changing duration risk.",Do not label every yield increase as hawkish Fed or fiscal stress.,"OIS/2Y, inflation/growth, term-premium model, auction/dealer data, positioning."
LIQUIDITY_PLUMBING_STRESS,Liquidity,Diagnostic,"Measures funding-market stress through reserves/QT, TGA/ON RRP, SOFR-IORB, SRF, swap spreads and Treasury-basis dislocations.",Funding metrics move away from normal corridor/arbitrage relationships.,The system may be experiencing balance-sheet scarcity even when broad macro liquidity looks adequate.,Raise tactical fragility and distinguish funding support from solvency support.,Do not assume a liquidity backstop fixes earnings or solvency problems.,"Reserves, TGA, ON RRP, SOFR-IORB, SRF, swap spreads, basis."
CROSS_ASSET_COHERENCE,Cross-asset,Confirmation,"Scores whether independent downstream markets confirm, contradict or give mixed evidence about one causal thesis.","One event or macro thesis has observable reactions in rates, USD, credit, volatility, breadth and relevant commodities.",Aligned independent evidence raises confidence; contradiction reduces it.,Use as a tactical confirmation/veto and record each independent evidence item.,Do not count correlated descendants of one shock as independent votes.,"Rates, USD, credit, vol, breadth, commodities, regional FX."
CAUSE_DEDUPLICATION,Governance/Event-aware,Rule,Maintains one canonical event/cause and treats downstream market moves as evidence rather than separate shocks.,Several signals arise from the same underlying event.,Prevents double-counting one narrative five times.,Assign common event_id/cause_id and count independent confirmations only.,Do not increase confidence merely because the same cause appears in several derived indicators.,"Event ledger, signal provenance graph."
NARRATIVE_HALF_LIFE,Event-aware,State,"Every event narrative decays unless refreshed by physical, fundamental or market confirmation.",Event headline occurs or an event flag is created.,Unconfirmed narratives lose decision weight through time.,"Store half-life, next review and expiry; move through shock/repricing/confirmation/persistence/reversal/expiry phases.",Do not leave event flags permanently active because the story remains in the news.,"Event timestamps, physical confirmation, price closes, policy updates."
USD_TRUTH_SERUM_DIVERGENCE,FX/Cross-asset,Diagnostic,"Compares the dollar reaction with the direction implied by rates, risk and the event narrative.",USD reaction diverges from the expected macro transmission.,"The narrative may be incomplete, crowded or wrong.","Lower tactical confidence and investigate relative growth/rates, safe-haven demand and positioning.",Do not assume USD always follows US yields or always behaves as a safe haven.,"DXY/major FX, rates, risk assets, event direction."
ASIA_OVERNIGHT_LEAD,Cross-asset/Asia,Confirmation,"Uses Asian equities, semiconductors and FX as an overnight lead for global/AI/EM risk, requiring US-session confirmation.","KOSPI/Taiwan semis, KRW/TWD/CNH, Nikkei and US futures move coherently overnight.","Asia can reveal the first transmission of semiconductor, China or carry stress.","Use as execution evidence for VFEA/semis/global beta, not as a standalone allocation trigger.",Do not assume an overnight move will persist into the US session.,"KOSPI, Taiwan semis, KRW/TWD/CNH, Nikkei, US futures."
EARNINGS_REVISION_BREADTH,Equity/Fundamental,Signal,"Measures breadth, magnitude and persistence of EPS/sales revisions and guidance across company, sector and market levels.",Point-in-time analyst revisions are available over 1w/4w/13w horizons.,Broad persistent upward revisions are stronger than a single headline beat.,Increase fundamental conviction only when revisions are broad and post-event price confirms.,Do not count repeated forecasts from the same analyst as independent breadth.,"EPS/sales revisions, guidance, sector breadth."
BACKLOG_QUALITY,Equity/Fundamental,Signal,"Evaluates backlog by growth, book-to-bill, funded/contracted share, duration visibility and margin conversion, penalized for concentration/cancellation/financing risk.",A company or sector cites backlog/order growth.,"Backlog matters only to the extent it is funded, deliverable and profitable.",Prefer durable funded backlog with cash/margin conversion; cap weak-quality backlog.,Do not treat a large headline backlog as automatically bullish.,"Backlog, book-to-bill, contracts, concentration, cancellation terms, margins/FCF."
AI_SUPPLIER_SPENDER_DIVERGENCE,Equity/AI,Diagnostic,Separates AI physical-capacity suppliers from hyperscaler/platform spenders and detects divergent economics.,Supplier revisions/backlog/pricing and spender capex/FCF/financing move differently.,Suppliers can benefit from capex while spenders face monetization or financing pressure.,Prefer the stronger side of the AI capital cycle rather than treating AI as one trade.,Do not infer that strong AI capex makes both suppliers and spenders equally attractive.,"Supplier revisions/backlog, capex, FCF, debt/equity issuance, buybacks, monetization."
GROWTH_DURATION_PRESSURE,Rates/Equity,Composite,"Combines real/nominal 10Y momentum, 2Y/Fed repricing, credit spreads, energy-inflation impulse and growth/value relative weakness.",Concentrated growth or semiconductors are being evaluated tactically.,Elevated score means the discount-rate/funding hurdle is rising faster than growth leadership can absorb.,Reduce Layer 2/3 concentrated-growth size while leaving Layer 1 strategic investing intact.,Do not automatically sell all technology because yields rise.,"2Y, 10Y, real yields, credit, energy, growth/value relative strength."
MARKET_STAGE_1_BASE,Technical/Regime,Market stage,"Basing/accumulation stage after a decline, with flat/range-bound price and unreliable trend signals.",Trend/range evidence matches a Stage 1 base.,Opportunity is forming but directional conviction is low.,"Preserve capital, build watchlists, use smaller tactical risk.",Do not force breakout trades before confirmation.,"Trend, range, moving averages, breadth."
MARKET_STAGE_2_ADVANCE,Technical/Regime,Market stage,Confirmed advancing trend with higher highs/lows and improving leadership/breadth.,Trend and breadth confirm an advance.,Trend-following tactics have their best environment.,"Own leaders, buy controlled pullbacks and allow normal tactical size.",Do not chase vertically extended entries.,"Trend, breadth, relative strength, volatility."
MARKET_STAGE_3_DISTRIBUTION,Technical/Regime,Market stage,"Topping/distribution stage where momentum fades, failed breakouts rise and leadership narrows.",Distribution/breadth/leader evidence deteriorates while headline price remains elevated.,The market is fragile even before the index fully breaks.,"Reduce tactical size, tighten risk and close chase gates.",Do not liquidate Layer 1 solely because Stage 3 is detected.,"Breadth, equal-weight, leaders, downside volume, vol/credit."
MARKET_STAGE_4_DECLINE,Technical/Regime,Market stage,Established declining trend with lower highs/lows and selling pressure dominating.,Price/trend evidence confirms sustained decline.,Long tactical expectancy is poor except for explicit countertrend setups.,"Avoid normal Layer 2/3 longs, use defensives/cash and separate short-risk budget if enabled.",Do not cancel scheduled Layer 1 investing merely because the tactical stage is Stage 4.,"Trend, breadth, relative strength, volatility."
TREND_MATURITY_DISTRIBUTION_RISK,Technical/Market structure,Risk,"Measures deterioration beneath a still-elevated index through narrowing breadth, leader lower highs, failed breakouts, downside volume, volatility divergence, defensive rotation and credit non-confirmation.",Late-stage trend character weakens before headline index trend fails.,The trend may be mature and vulnerable to correlation/breadth deterioration.,Scale Layer 2 exposure down and close chase gates.,Do not use distribution risk as an automatic market-top call.,"Breadth, leaders, volume, vol, defensives, credit."
TACTICAL_VOLATILITY_SIZING,Execution/Risk,Rule,"Scales tactical size by market stage, volatility, event risk, liquidity and entry extension rather than fixed euro amount alone.",Any Layer 2/3 position is proposed.,The same thesis deserves less capital in noisier or later-stage regimes.,Apply multiplicative risk reducers bounded at the approved base risk.,Do not let confidence multipliers raise risk above the base cap.,"Stage, realized/implied vol, event/liquidity state, extension."
ENTRY_QUALITY,Technical/Execution,State,"Classifies an entry as ATTRACTIVE, ACCEPTABLE, EXTENDED or CHASE_BLOCKED using trend distance, ATR extension, gaps/consecutive moves and post-event move already realized.",A tactical entry is evaluated.,Entry quality is separate from thesis quality.,Use normal/staged/zero tactical size according to state and wait for reset if extended.,Do not use oscillator extremes alone as the entry decision.,"20/50DMA distance, ATR, breakout distance, gaps, event move."
LIQUIDATION_FUNDAMENTAL_DISLOCATION,Risk/Market structure,Classifier,"Classifies a sharp drawdown as LIQUIDATION_LIKELY, FUNDAMENTAL_LIKELY, MIXED or INSUFFICIENT_DATA using speed, volatility, flows/OI/margin, macro/physical confirmation and rebound behavior.",Large abrupt move occurs in a commodity or risk asset.,Forced selling and fundamental impairment have different re-entry logic.,"Use liquidation classification to change cooling-off/confirmation rules, never as an automatic buy.",Do not average down merely because a move looks forced.,"Price speed, vol, OI, margin/flows, macro/physical data, rebound."
GOLD_STRUCTURAL_TACTICAL_SPLIT,Precious metals,Architecture,Maintains separate structural gold-hedge support and tactical gold-pressure scores.,Gold is considered for strategic or tactical allocation.,Structural support can remain high while tactical conditions are poor.,Allow planned strategic tranches while blocking tactical chase/miner adds when tactical pressure is high.,Do not mechanically net structural and tactical scores into one number.,Fiscal/reserve/geopolitical structural inputs; real yields/USD/trend/positioning tactical inputs.
SILVER_HYBRID_PARTICIPATION,Precious metals,Composite,Requires both monetary and industrial confirmation for silver and penalizes disagreement between them.,Silver allocation/trade is evaluated.,Silver behaves as both monetary metal and industrial/high-beta asset.,Use smaller size and larger volatility haircut than gold; demand dual confirmation.,Do not treat silver as simply cheaper gold.,"Gold regime, real yields/USD, manufacturing/orders, copper/industrial metals, flows/breadth."
OIL_PHYSICAL_STRESS,Commodities,Composite,"Measures oil tightness from curve, inventories, refinery/product stress, shipping/tanker stress, supply disruption, Brent-WTI and demand validation.",Oil/geopolitical risk is evaluated.,Physical confirmation distinguishes durable tightness from headline premium.,Route confirmed stress into inflation/duration risk; do not automatically chase energy equities.,Do not use spot crude alone as the physical-stress measure.,"Curve, inventories, cracks/products, shipping, disruption, demand."
LNG_REGIONAL_TIGHTNESS,Commodities/Gas,Composite,"Tracks Henry Hub, TTF and JKM separately using storage, flow surprises, cargo pull, export utilization, weather and terminal/shipping concentration.",Regional gas stress is evaluated.,Gas is regional; basis and infrastructure determine transmission.,Apply regional/sector effects rather than a global-gas blanket signal.,"Do not collapse Henry Hub, TTF and JKM into one score.","Regional prices/spreads, storage, feedgas, terminals, shipping, weather."
COMMODITY_INFLATION_TRANSMISSION,Commodities/Inflation,Pipeline,"Models energy shock through products/freight/fertilizer into breakevens, rates, USD, growth equities and consumer stress.",Commodity/energy shock occurs.,Second-order transmission matters more than the headline crude move.,Adjust inflation/rates/growth risk only when downstream transmission confirms.,Do not infer persistent inflation from oil direction alone.,"Products, freight, fertilizer, breakevens/swaps, 2Y/10Y, consumer stress."
INSTRUMENT_PURITY_AUDIT,Execution/Governance,Quality,Evaluates whether an instrument actually delivers the intended sleeve exposure versus unintended factor betas and regime instability.,Any ETF/ETC/future is assigned to a sleeve.,Low-purity instruments can contaminate allocation and attribution.,Cap sizing and disclose dominant unintended factor; prefer cleaner alternative.,Do not trust an instrument label as proof of economic exposure.,"Intended/unintended betas, tracking error, structure, regime stability."
EVENT_PREMIUM_BUILD,Options/Volatility,State,Short-dated implied volatility rises ahead of a known catalyst.,Front-end vol steepens/rises ahead of event.,Price drift may reflect hedging and premium rather than directional conviction.,Reduce tactical size and avoid chasing pre-event drift.,Do not interpret higher IV as directional information.,"VIX1D/VIX9D, event calendar, skew/gamma."
IV_CRUSH_SUPPORT,Options/Volatility,State,"Implied volatility collapses after an event, temporarily reducing hedging pressure and supporting price.",Event passes and short-dated IV falls sharply.,Mechanical support may appear even without new fundamental information.,Use as temporary support only with breadth/rates confirmation.,Do not treat IV crush as a durable bullish thesis.,"Event IV, realized move, breadth, rates."
NEGATIVE_GAMMA_ACCELERATION,Options/Volatility,State,Dealer hedging is estimated to reinforce price direction when gamma is negative.,Gamma proxy is materially negative and price moves through relevant levels.,Move distribution can widen and intraday momentum can self-reinforce.,Reduce leverage and widen expected range while preserving hard max loss.,Do not use gamma sign as a directional forecast by itself.,"Gamma proxy, spot, options OI/vol surface."
POSITIVE_GAMMA_PIN,Options/Volatility,State,Estimated positive dealer gamma tends to dampen movement and increase range/pinning behavior.,Gamma proxy materially positive near large strikes/levels.,Hedging flows may oppose price movement.,Avoid chasing breakouts without confirmation; favor range-aware execution.,Do not assume positive gamma prevents a fundamental breakout.,"Gamma proxy, strikes, spot, vol."
SQUEEZE_EXHAUSTION,Options/Positioning,State,Forced covering appears largely complete and continuation requires new fundamental or discretionary buyers.,Gamma/delta reversal and positioning normalize after a squeeze while breadth/dispersion fail to confirm.,Mechanical buying impulse is fading.,Close chase gates and demand new confirmation for further tactical adds.,Do not automatically short simply because a squeeze is mature.,"Gamma/delta, positioning, breadth, dispersion."
DISPERSION_FRAGILITY,Options/Market structure,State,"Index calm masks large single-stock dispersion and low implied correlation, creating fragility if correlations suddenly rise.",Single-stock/index vol contrast and dispersion are extreme while index vol remains subdued.,Diversification inside the index can disappear quickly in a correlation shock.,Retain defensives and reduce concentrated tactical beta.,Do not equate low index VIX with low stock-level risk.,"Single-stock/index IV, dispersion, implied correlation, breadth."
CORRELATION_SHOCK,Options/Market structure,State,"Constituent correlations jump higher, causing index-level moves to accelerate and diversification to weaken.",Implied/realized correlation rises sharply from a low-dispersion regime.,Many positions can move together unexpectedly.,"Reduce concentration, reassess hedge ratios and retain liquidity/defensives.",Do not assume historical stock/bond or sector correlations remain valid.,"Implied/realized correlation, dispersion, index/constituent vol."
EVENT_EXPECTED_MOVE_ENGINE,Event-aware/Options,Rule,"Compares pre-event implied move/skew/gamma with post-event realized move, IV crush, gap retention, cross-asset response and 1/3/5-session drift.",Major macro/earnings event has defined option/event data.,Separates volatility edge from directional/persistence edge.,Use to evaluate event trade quality and whether the move is retained or reversed.,Do not judge event success only by the first candle.,"Expected move, realized move, IV, gap, rates/USD, drift."
TREASURY_SETTLEMENT_MICRO_LIQUIDITY,Liquidity/Event-aware,State,"Tracks short-lived liquidity effects from Treasury settlements, tax dates and cash-management operations through reserves/repo plumbing.",Large bill/coupon settlement or tax/quarter-end cash movement occurs.,Can amplify markets for roughly 1-3 sessions without changing the macro liquidity regime.,Use as tactical timing amplifier with hard expiry unless broader liquidity confirms.,Do not promote a one-day settlement effect into a permanent liquidity regime.,"Settlement calendar, TGA, reserves, ON RRP, SOFR-IORB, SRF/repo."
SYSTEMATIC_FLOW_CALENDAR,Positioning/Event-aware,State,"Tracks OPEX/VIX expiry, index rebalances, month/quarter-end, CTA threshold proximity and vol-control direction.",Known mechanical-flow window approaches.,Price can temporarily deviate from fundamentals due to forced/mechanical flow.,Lower confidence in short-horizon price signal and apply expiry; never change strategic targets directly.,Do not invent flow direction when exposure data are unavailable.,"OPEX/expiry/rebalance calendar, CTA thresholds, vol-control estimates."
EXECUTION_TICKET_COMPLETE,Execution/Governance,Compliance state,"Confirms that a Layer 2/3 trade has a complete pre-trade record: layer, setup, entry, invalidation, stop/time stop, max loss, units, event/liquidity state and re-entry rule.",Any Layer 2/3 order is proposed.,A complete ticket makes the decision auditable and prevents post-hoc rule changes.,Block incomplete discretionary Layer 2/3 execution.,Do not waive required fields because conviction feels high.,Trade ticket fields.
LAYER_INTEGRITY,Execution/Governance,Rule,Prevents a failed short-term trade from silently becoming a tactical or strategic holding.,"A trade is stopped, invalidated or exceeds its original horizon.",Changing the holding horizon changes the thesis and risk contract.,Close/reassess and create a new decision if another layer genuinely wants the asset.,Do not migrate a losing trade to avoid realizing a loss.,"Trade layer, horizon, invalidation, postmortem."
DRAWDOWN_RISK_STATE,Execution/Risk,State,"Maps Layer 3 risk permission to NORMAL, CAUTION, RECOVERY or LOCKOUT using tactical-sleeve drawdown/recovery evidence.",Tactical sleeve drawdown/recovery thresholds are crossed.,Risk should fall mechanically as drawdown deepens rather than increasing to recover faster.,Apply calibrated multipliers approximately 1.0/0.5/0.25/0 and require review before re-risking.,Do not apply tactical drawdown lockout to scheduled Layer 1 purchases.,"Tactical NAV/drawdown, recovery days, compliance."
COOLDOWN_ACTIVE,Execution/Risk,State,Temporarily prohibits same-instrument re-entry after a stop unless a pre-authorized re-entry setup existed before the first trade.,Layer 3 trade stops out or is invalidated.,Cooling-off reduces revenge trading and repeated whipsaw.,Wait until the next decision bar/defined cooldown or pre-authorized setup.,Do not create a new re-entry rule after the stop simply to get back in.,"Stop timestamp, setup registry, decision bars."
EXECUTION_COMPLIANCE_DEGRADED,Execution/Governance,Audit state,"Flags repeated incomplete tickets, oversizing, stop widening, time-stop breach, layer migration, cooldown breach or event-gate bypass.",One or more execution-discipline rules are violated.,Process quality is deteriorating even if recent P&L happens to be positive.,Reduce allowed Layer 3 risk and require review until compliance improves.,Do not reward rule-breaking because one trade made money.,"Execution tickets, trades, postmortems, compliance ledger."
MACRO_SURPRISE_PATH,Macro/Event-aware,Signal,"Interprets releases using actual-consensus surprise, prior revision, composition, pre-event pricing, policy-path change and cross-asset confirmation, with direction/confidence/half-life.",Major macro release occurs.,The path/reaction function matters more than a good/bad headline label.,Use the complete surprise-to-path record before releasing tactical capital.,Do not ignore revisions or pre-event expectations.,"Actual/consensus/prior, components, OIS/path, rates/USD/cross-asset response."
CENTRAL_BANK_DIVERGENCE,FX/Rates,Relative-value signal,"Compares current rates, priced 3m/6m/12m policy paths, growth/inflation surprises, guidance and balance-sheet direction between two regions.",Currency/regional relative value is evaluated.,Expected path changes often matter more than the spot rate gap.,Use in FX/regional equity relative-value and translation analysis.,Do not trade currencies on current policy-rate differentials alone.,"Policy curves, surprises, guidance, balance sheets."
FX_TRANSLATION_RISK,Portfolio/FX,Attribution state,Separates local-asset return from currency contribution to the EUR investor and identifies hedge-relevant FX risk.,Portfolio holds non-EUR assets or unhedged funds.,The same local-market outcome can produce different EUR returns.,"Report local return, FX return, total EUR return and hedge note separately.",Do not confuse an FX hedge decision with an asset-allocation decision.,"Holding currency mix, hedge status, local/FX returns."
FORECAST_CALIBRATION_BRIER,Governance/Self-audit,Calibration state,"Scores ex-ante probabilistic forecasts with Brier/log loss, realized move and false-positive rate by regime, using point-in-time data.",Sufficient resolved forecast ledger observations exist.,Calibration reveals whether confidence levels deserve trust.,Keep reweighting in shadow mode until sample is adequate; exclude revised/unavailable data.,Do not judge model quality from a few memorable calls.,"Forecast ledger, outcomes, timestamps, regimes."
